name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id_old,from_node_id,to_node_id_old,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,4167,4167_AB,,,87,87,8301,260,Suburban_Centroid Connector,1,0.46,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.695713,33.372112,0.0 -111.687822,33.372169,0.0</coordinates></LineString>","<LineString><coordinates>-111.695713,33.372118,0.0 -111.687822,33.372175,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4167
,4167,4167_BA,,,8301,260,87,87,Suburban_Centroid Connector,1,0.46,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.687822,33.372181,0.0 -111.695713,33.372124,0.0</coordinates></LineString>","<LineString><coordinates>-111.687822,33.372175,0.0 -111.695713,33.372118,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4167
,11907,11907_AB,,,8193,238,8195,239,MixedUrban_Major Arterial,1,0.5,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.687921,33.379340,0.0 -111.696579,33.379336,0.0</coordinates></LineString>","<LineString><coordinates>-111.687921,33.379346,0.0 -111.696579,33.379342,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11907
,11907,11907_BA,,,8195,239,8193,238,MixedUrban_Major Arterial,1,0.5,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.696579,33.379336,0.0 -111.687921,33.379340,0.0</coordinates></LineString>","<LineString><coordinates>-111.696579,33.379342,0.0 -111.687921,33.379346,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11907
,12082,12082_AB,,,8293,259,8301,260,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.687874,33.375737,0.0 -111.687828,33.372175,0.0</coordinates></LineString>","<LineString><coordinates>-111.687868,33.375737,0.0 -111.687822,33.372175,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12082
,12082,12082_BA,,,8301,260,8293,259,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.687816,33.372175,0.0 -111.687862,33.375737,0.0</coordinates></LineString>","<LineString><coordinates>-111.687822,33.372175,0.0 -111.687868,33.375737,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12082
,12123,12123_AB,,,8366,270,8367,271,Suburban_Major Arterial,1,0.5,2,41,889,46,190,12,,0,"<LineString><coordinates>-111.687641,33.365079,0.0 -111.696239,33.365020,0.0</coordinates></LineString>","<LineString><coordinates>-111.687641,33.365073,0.0 -111.696239,33.365014,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12123
,12123,12123_BA,,,8367,271,8366,270,Suburban_Major Arterial,1,0.5,2,41,889,46,190,12,,0,"<LineString><coordinates>-111.696239,33.365008,0.0 -111.687641,33.365067,0.0</coordinates></LineString>","<LineString><coordinates>-111.696239,33.365014,0.0 -111.687641,33.365073,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12123
,4168,4168_AB,,,87,87,8304,261,Suburban_Centroid Connector,1,0.54,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.695713,33.372124,0.0 -111.704990,33.372140,0.0</coordinates></LineString>","<LineString><coordinates>-111.695713,33.372118,0.0 -111.704990,33.372134,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4168
,4168,4168_BA,,,8304,261,87,87,Suburban_Centroid Connector,1,0.54,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.704990,33.372128,0.0 -111.695713,33.372112,0.0</coordinates></LineString>","<LineString><coordinates>-111.704990,33.372134,0.0 -111.695713,33.372118,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4168
,4169,4169_AB,,,87,87,8367,271,Suburban_Centroid Connector,1,0.49,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.695719,33.372118,0.0 -111.696245,33.365014,0.0</coordinates></LineString>","<LineString><coordinates>-111.695713,33.372118,0.0 -111.696239,33.365014,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4169
,4169,4169_BA,,,8367,271,87,87,Suburban_Centroid Connector,1,0.49,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.696233,33.365014,0.0 -111.695707,33.372118,0.0</coordinates></LineString>","<LineString><coordinates>-111.696239,33.365014,0.0 -111.695713,33.372118,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4169
,3921,3921_AB,,,30453,1114,8195,239,MixedUrban_Centroid Connector,1,0.34,1,25,99999,35,190,12,,0,"<LineString><coordinates>-111.692610,33.382937,0.0 -111.696583,33.379346,0.0</coordinates></LineString>","<LineString><coordinates>-111.692606,33.382933,0.0 -111.696579,33.379342,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,3921
,3921,3921_BA,,,8195,239,30453,1114,MixedUrban_Centroid Connector,1,0.34,1,25,99999,35,190,12,,0,"<LineString><coordinates>-111.696575,33.379338,0.0 -111.692602,33.382929,0.0</coordinates></LineString>","<LineString><coordinates>-111.696579,33.379342,0.0 -111.692606,33.382933,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,3921
,11911,11911_AB,,,8195,239,8196,240,MixedUrban_Major Arterial,1,0.49,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.696579,33.379348,0.0 -111.705136,33.379305,0.0</coordinates></LineString>","<LineString><coordinates>-111.696579,33.379342,0.0 -111.705136,33.379299,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11911
,11911,11911_BA,,,8196,240,8195,239,MixedUrban_Major Arterial,1,0.49,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.705136,33.379293,0.0 -111.696579,33.379336,0.0</coordinates></LineString>","<LineString><coordinates>-111.705136,33.379299,0.0 -111.696579,33.379342,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11911
,4007,4007_AB,,,30454,1115,8301,260,Suburban_Centroid Connector,1,0.52,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.678843,33.372365,0.0 -111.687822,33.372181,0.0</coordinates></LineString>","<LineString><coordinates>-111.678843,33.372359,0.0 -111.687822,33.372175,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4007
,4007,4007_BA,,,8301,260,30454,1115,Suburban_Centroid Connector,1,0.52,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.687822,33.372169,0.0 -111.678843,33.372353,0.0</coordinates></LineString>","<LineString><coordinates>-111.687822,33.372175,0.0 -111.678843,33.372359,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4007
,12088,12088_AB,,,8301,260,8366,270,Suburban_Major Arterial,1,0.49,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.687828,33.372175,0.0 -111.687647,33.365073,0.0</coordinates></LineString>","<LineString><coordinates>-111.687822,33.372175,0.0 -111.687641,33.365073,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12088
,12088,12088_BA,,,8366,270,8301,260,Suburban_Major Arterial,1,0.49,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.687635,33.365073,0.0 -111.687816,33.372175,0.0</coordinates></LineString>","<LineString><coordinates>-111.687641,33.365073,0.0 -111.687822,33.372175,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12088
,11866,11866_AB,,,30455,1116,8193,238,MixedUrban_Major Arterial,1,0.36,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.685070,33.383966,0.0 -111.687926,33.379349,0.0</coordinates></LineString>","<LineString><coordinates>-111.685065,33.383963,0.0 -111.687921,33.379346,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11866
,11866,11866_BA,,,8193,238,30455,1116,MixedUrban_Major Arterial,1,0.36,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.687916,33.379343,0.0 -111.685060,33.383960,0.0</coordinates></LineString>","<LineString><coordinates>-111.687921,33.379346,0.0 -111.685065,33.383963,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11866
,11906,11906_AB,,,30456,1117,8193,238,MixedUrban_Major Arterial,1,0.29,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.682932,33.379347,0.0 -111.687921,33.379340,0.0</coordinates></LineString>","<LineString><coordinates>-111.682932,33.379353,0.0 -111.687921,33.379346,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11906
,11906,11906_BA,,,8193,238,30456,1117,MixedUrban_Major Arterial,1,0.29,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.687921,33.379340,0.0 -111.682932,33.379347,0.0</coordinates></LineString>","<LineString><coordinates>-111.687921,33.379346,0.0 -111.682932,33.379353,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11906
,11908,11908_AB,,,8193,238,8293,259,MixedUrban_Major Arterial,1,0.25,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.687927,33.379346,0.0 -111.687874,33.375737,0.0</coordinates></LineString>","<LineString><coordinates>-111.687921,33.379346,0.0 -111.687868,33.375737,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11908
,11908,11908_BA,,,8293,259,8193,238,MixedUrban_Major Arterial,1,0.25,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.687862,33.375737,0.0 -111.687915,33.379346,0.0</coordinates></LineString>","<LineString><coordinates>-111.687868,33.375737,0.0 -111.687921,33.379346,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11908
,4155,4155_AB,,,84,84,8304,261,Suburban_Centroid Connector,1,0.46,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.712901,33.372056,0.0 -111.704990,33.372128,0.0</coordinates></LineString>","<LineString><coordinates>-111.712901,33.372062,0.0 -111.704990,33.372134,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4155
,4155,4155_BA,,,8304,261,84,84,Suburban_Centroid Connector,1,0.46,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.704990,33.372140,0.0 -111.712901,33.372068,0.0</coordinates></LineString>","<LineString><coordinates>-111.704990,33.372134,0.0 -111.712901,33.372062,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4155
,11913,11913_AB,,,8196,240,30457,1118,MixedUrban_Major Arterial,1,0.54,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.705134,33.379305,0.0 -111.713325,33.382922,0.0</coordinates></LineString>","<LineString><coordinates>-111.705136,33.379299,0.0 -111.713327,33.382916,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11913
,11913,11913_BA,,,30457,1118,8196,240,MixedUrban_Major Arterial,1,0.54,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.713329,33.382910,0.0 -111.705138,33.379293,0.0</coordinates></LineString>","<LineString><coordinates>-111.713327,33.382916,0.0 -111.705136,33.379299,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11913
,11914,11914_AB,,,8196,240,11200,859,MixedUrban_Major Arterial,1,0.25,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.705136,33.379293,0.0 -111.709536,33.379284,0.0</coordinates></LineString>","<LineString><coordinates>-111.705136,33.379299,0.0 -111.709536,33.379290,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11914
,11914,11914_BA,,,11200,859,8196,240,MixedUrban_Major Arterial,1,0.25,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.709536,33.379284,0.0 -111.705136,33.379293,0.0</coordinates></LineString>","<LineString><coordinates>-111.709536,33.379290,0.0 -111.705136,33.379299,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11914
,4154,4154_AB,,,84,84,8199,241,Suburban_Centroid Connector,1,0.5,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.712895,33.372063,0.0 -111.713743,33.379295,0.0</coordinates></LineString>","<LineString><coordinates>-111.712901,33.372062,0.0 -111.713749,33.379294,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4154
,4154,4154_BA,,,8199,241,84,84,Suburban_Centroid Connector,1,0.5,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.713755,33.379293,0.0 -111.712907,33.372061,0.0</coordinates></LineString>","<LineString><coordinates>-111.713749,33.379294,0.0 -111.712901,33.372062,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4154
,11919,11919_AB,,,8200,242,8306,262,Suburban_Major Arterial,1,0.49,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.722416,33.379272,0.0 -111.722170,33.372121,0.0</coordinates></LineString>","<LineString><coordinates>-111.722410,33.379272,0.0 -111.722164,33.372121,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11919
,11919,11919_BA,,,8306,262,8200,242,Suburban_Major Arterial,1,0.49,1,41,889,46,190,12,,0,"<LineString><coordinates>-111.722158,33.372121,0.0 -111.722404,33.379272,0.0</coordinates></LineString>","<LineString><coordinates>-111.722164,33.372121,0.0 -111.722410,33.379272,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11919
,4156,4156_AB,,,84,84,8306,262,Suburban_Centroid Connector,1,0.54,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.712901,33.372068,0.0 -111.722164,33.372127,0.0</coordinates></LineString>","<LineString><coordinates>-111.712901,33.372062,0.0 -111.722164,33.372121,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4156
,4156,4156_BA,,,8306,262,84,84,Suburban_Centroid Connector,1,0.54,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.722164,33.372115,0.0 -111.712901,33.372056,0.0</coordinates></LineString>","<LineString><coordinates>-111.722164,33.372121,0.0 -111.712901,33.372062,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4156
,4157,4157_AB,,,84,84,8369,273,Suburban_Centroid Connector,1,0.49,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.712907,33.372062,0.0 -111.713339,33.364952,0.0</coordinates></LineString>","<LineString><coordinates>-111.712901,33.372062,0.0 -111.713333,33.364952,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4157
,4157,4157_BA,,,8369,273,84,84,Suburban_Centroid Connector,1,0.49,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.713327,33.364952,0.0 -111.712895,33.372062,0.0</coordinates></LineString>","<LineString><coordinates>-111.713333,33.364952,0.0 -111.712901,33.372062,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4157
,3904,3904_AB,,,30458,1119,11200,859,MixedUrban_Centroid Connector,1,0.29,1,25,99999,35,190,12,,0,"<LineString><coordinates>-111.706947,33.382915,0.0 -111.709541,33.379294,0.0</coordinates></LineString>","<LineString><coordinates>-111.706942,33.382911,0.0 -111.709536,33.379290,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,3904
,3904,3904_BA,,,11200,859,30458,1119,MixedUrban_Centroid Connector,1,0.29,1,25,99999,35,190,12,,0,"<LineString><coordinates>-111.709531,33.379286,0.0 -111.706937,33.382907,0.0</coordinates></LineString>","<LineString><coordinates>-111.709536,33.379290,0.0 -111.706942,33.382911,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,3904
,11916,11916_AB,,,8199,241,10991,848,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.713749,33.379288,0.0 -111.718096,33.379282,0.0</coordinates></LineString>","<LineString><coordinates>-111.713749,33.379294,0.0 -111.718096,33.379288,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11916
,11916,11916_BA,,,10991,848,8199,241,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.718096,33.379282,0.0 -111.713749,33.379288,0.0</coordinates></LineString>","<LineString><coordinates>-111.718096,33.379288,0.0 -111.713749,33.379294,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11916
,11920,11920_AB,,,8200,242,10991,848,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.722410,33.379266,0.0 -111.718096,33.379282,0.0</coordinates></LineString>","<LineString><coordinates>-111.722410,33.379272,0.0 -111.718096,33.379288,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11920
,11920,11920_BA,,,10991,848,8200,242,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.718096,33.379294,0.0 -111.722410,33.379278,0.0</coordinates></LineString>","<LineString><coordinates>-111.718096,33.379288,0.0 -111.722410,33.379272,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11920
,11917,11917_AB,,,8199,241,11200,859,MixedUrban_Major Arterial,1,0.24,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.713749,33.379288,0.0 -111.709536,33.379284,0.0</coordinates></LineString>","<LineString><coordinates>-111.713749,33.379294,0.0 -111.709536,33.379290,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11917
,11917,11917_BA,,,11200,859,8199,241,MixedUrban_Major Arterial,1,0.24,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.709536,33.379284,0.0 -111.713749,33.379288,0.0</coordinates></LineString>","<LineString><coordinates>-111.709536,33.379290,0.0 -111.713749,33.379294,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11917
,11912,11912_AB,,,8196,240,8304,261,MixedUrban_Major Arterial,1,0.49,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.705142,33.379299,0.0 -111.704996,33.372134,0.0</coordinates></LineString>","<LineString><coordinates>-111.705136,33.379299,0.0 -111.704990,33.372134,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11912
,11912,11912_BA,,,8304,261,8196,240,MixedUrban_Major Arterial,1,0.49,2,41,857,36,190,12,,0,"<LineString><coordinates>-111.704984,33.372134,0.0 -111.705130,33.379299,0.0</coordinates></LineString>","<LineString><coordinates>-111.704990,33.372134,0.0 -111.705136,33.379299,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11912
,12092,12092_AB,,,8304,261,8368,272,Suburban_Major Arterial,1,0.49,2,41,889,46,190,12,,0,"<LineString><coordinates>-111.704996,33.372134,0.0 -111.704780,33.364988,0.0</coordinates></LineString>","<LineString><coordinates>-111.704990,33.372134,0.0 -111.704774,33.364988,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12092
,12092,12092_BA,,,8368,272,8304,261,Suburban_Major Arterial,1,0.49,2,41,889,46,190,12,,0,"<LineString><coordinates>-111.704768,33.364988,0.0 -111.704984,33.372134,0.0</coordinates></LineString>","<LineString><coordinates>-111.704774,33.364988,0.0 -111.704990,33.372134,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,12092
,4144,4144_AB,,,81,81,8313,263,Suburban_Centroid Connector,1,0.53,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.730075,33.371999,0.0 -111.739263,33.372015,0.0</coordinates></LineString>","<LineString><coordinates>-111.730075,33.371993,0.0 -111.739263,33.372009,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4144
,4144,4144_BA,,,8313,263,81,81,Suburban_Centroid Connector,1,0.53,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.739263,33.372003,0.0 -111.730075,33.371987,0.0</coordinates></LineString>","<LineString><coordinates>-111.739263,33.372009,0.0 -111.730075,33.371993,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4144
